Energy	Efficiency(GR)	alpha(norm)
500	0.008930833735	75.82364478
505	0.007272628268	75.98444808
510	0.005586206519	76.13680106
515	0.003968622314	76.29273067
520	0.002504204086	76.43441706
525	0.001343910916	76.56778669
530	5.65206048E-4	76.6876076
535	3.616927012E-4	76.86569709
540	0.001351106679	77.07918146
545	0.004305393023	77.22364589
550	0.01010055746	77.37040213
555	0.02220239272	77.51256924
560	0.04157215021	77.66308941
565	0.09700759015	77.83739387
570	0.1748645561	78.0263822
575	0.1198557327	78.33354557
580	0.04986887844	78.1906193
585	0.04370199073	78.26300953
590	0.04020312619	78.33557309
595	0.03897373507	78.42648343
600	0.03843886233	78.51314641
605	0.03833965764	78.60998747
610	0.03851315132	78.70162796
615	0.03886425266	78.79416437
620	0.0393195394	78.88697374
625	0.03982821004	78.97982151
630	0.04039832649	79.07828481
635	0.04100072352	79.17043067
640	0.04148617817	79.26051496
645	0.04225104204	79.35090834
650	0.04299551539	79.43995084
655	0.04369368343	79.52871698
660	0.0443494634	79.61460645
665	0.04494786202	79.70222831
670	0.04562174104	79.78536939
675	0.04641064648	79.87053205
680	0.04718004643	79.95122318
685	0.04821152456	80.0327135
690	0.04900753355	80.11105746
695	0.050009111	80.18965586
700	0.0509456737	80.26647752
705	0.05192309227	80.34215169
710	0.0529347728	80.41670906
715	0.05398510378	80.49019508
720	0.05507277747	80.56263135
725	0.05652162202	80.63862824
730	0.05803450231	80.70759673
735	0.05924435184	80.77697685
740	0.06090157808	80.84394956
745	0.06225648997	80.91139317
750	0.06367783361	80.97790125
755	0.06472184092	81.04496075
760	0.06620653257	81.10966302
765	0.06729287172	81.17497376
770	0.06897356584	81.23793799
775	0.07004989047	81.30156417
780	0.07121585456	81.36438014
785	0.07296556592	81.42487207
790	0.07410754071	81.48610417
795	0.07542496741	81.54656957
800	0.07672844471	81.60628746
805	0.07796952507	81.66527209
810	0.07924324128	81.72353342
815	0.08110409904	81.77981836
820	0.08260640826	81.83634839
825	0.08400492612	81.89252039
830	0.08543874822	81.94802442
835	0.08696794356	82.00287026
840	0.08849935644	82.05707479
845	0.09012211387	82.1106501
850	0.09179530611	82.16360509
855	0.09347292889	82.21595078
860	0.09518807357	82.26770087
865	0.0969560219	82.31886648
870	0.09870676029	82.36945381
875	0.1005081704	82.41947756
880	0.101907848	82.46964824
885	0.1030582341	82.51961152
890	0.1049002562	82.56801049
895	0.1067444453	82.61588574
900	0.1075876556	82.66463175
905	0.1091222976	82.7118739
910	0.1109167298	82.75823629
915	0.1126932543	82.80411064
920	0.1144994777	82.8494985
925	0.1149233373	82.89623788
930	0.1166943696	82.94070212
935	0.1184919196	82.98470481
940	0.120285052	83.02826015
945	0.1220728136	83.07137439
950	0.1238864734	83.11405136
955	0.1244175322	83.15186989
960	0.1259821024	83.19403255
965	0.127844407	83.23545901
970	0.1297200258	83.27648168
975	0.131586228	83.31710312
980	0.1334839455	83.35733051
985	0.1353920411	83.39717277
990	0.1372563937	83.43663288
995	0.1391504727	83.47571951
1000	0.1405788731	83.51492624
