case_id,energy_ev,grazing_angle_deg,order,efficiency,diffraction_angle_deg
fixed-00000000,51.031,4.0,-15,4.076158139506949e-05,31.592684208420422
fixed-00000000,51.031,4.0,-14,3.128954840704804e-05,30.513240899031942
fixed-00000000,51.031,4.0,-13,4.939150843584729e-05,29.3981266579136
fixed-00000000,51.031,4.0,-12,0.00011484800815372403,28.2430826673667
fixed-00000000,51.031,4.0,-11,0.00012013752309414013,27.042958026955112
fixed-00000000,51.031,4.0,-10,0.00015688507934842467,25.791424211271462
fixed-00000000,51.031,4.0,-9,0.0002125430667529711,24.4805601660764
fixed-00000000,51.031,4.0,-8,0.0003732404260192153,23.100228310925417
fixed-00000000,51.031,4.0,-7,0.0005434103733924949,21.63709620023063
fixed-00000000,51.031,4.0,-6,0.0002904053415554288,20.073021804562856
fixed-00000000,51.031,4.0,-5,0.0012251991206404386,18.382209182495572
fixed-00000000,51.031,4.0,-4,0.0024030236739902367,16.52575062796602
fixed-00000000,51.031,4.0,-3,0.00031306405348474294,14.439839202533307
fixed-00000000,51.031,4.0,-2,0.007832329691698729,12.005394489484559
fixed-00000000,51.031,4.0,-1,0.034355002758848556,8.942057498804587
fixed-00000000,51.031,4.0,0,0.743418135493119,4.000000000000043
fixed-00000000,51.031,4.0,1,0.0,0.0
fixed-00000000,51.031,4.0,2,0.0,0.0
fixed-00000000,51.031,4.0,3,0.0,0.0
fixed-00000000,51.031,4.0,4,0.0,0.0
fixed-00000000,51.031,4.0,5,0.0,0.0
fixed-00000000,51.031,4.0,6,0.0,0.0
fixed-00000000,51.031,4.0,7,0.0,0.0
fixed-00000000,51.031,4.0,8,0.0,0.0
fixed-00000000,51.031,4.0,9,0.0,0.0
fixed-00000000,51.031,4.0,10,0.0,0.0
fixed-00000000,51.031,4.0,11,0.0,0.0
fixed-00000000,51.031,4.0,12,0.0,0.0
fixed-00000000,51.031,4.0,13,0.0,0.0
fixed-00000000,51.031,4.0,14,0.0,0.0
fixed-00000000,51.031,4.0,15,0.0,0.0
fixed-00000002,52.039,4.0,-15,4.3146936189891394e-05,31.282505988724793
fixed-00000002,52.039,4.0,-14,3.356469252308343e-05,30.214532313290178
fixed-00000002,52.039,4.0,-13,5.223647707456478e-05,29.111220426924838
fixed-00000002,52.039,4.0,-12,0.00012194090661293487,27.968356274769036
fixed-00000002,52.039,4.0,-11,0.00012695005976066752,26.780843461359154
fixed-00000002,52.039,4.0,-10,0.00016451148849476138,25.54242096585716
fixed-00000002,52.039,4.0,-9,0.00022415660173823908,24.245253037826245
fixed-00000002,52.039,4.0,-8,0.0003890261218072327,22.879312537140322
fixed-00000002,52.039,4.0,-7,0.0005643108601282632,21.431414324813787
fixed-00000002,52.039,4.0,-6,0.00030468980489828645,19.88362036714267
fixed-00000002,52.039,4.0,-5,0.001264614421134028,18.210431370756268
fixed-00000002,52.039,4.0,-4,0.002480120143221069,16.373400616836477
fixed-00000002,52.039,4.0,-3,0.0003283826490461815,14.309509521971336
fixed-00000002,52.039,4.0,-2,0.008048966512184967,11.901246505405481
fixed-00000002,52.039,4.0,-1,0.03539598494944779,8.87240085492671
fixed-00000002,52.039,4.0,0,0.7401588232905492,3.999999999999943
fixed-00000002,52.039,4.0,1,0.0,0.0
fixed-00000002,52.039,4.0,2,0.0,0.0
fixed-00000002,52.039,4.0,3,0.0,0.0
fixed-00000002,52.039,4.0,4,0.0,0.0
fixed-00000002,52.039,4.0,5,0.0,0.0
fixed-00000002,52.039,4.0,6,0.0,0.0
fixed-00000002,52.039,4.0,7,0.0,0.0
fixed-00000002,52.039,4.0,8,0.0,0.0
fixed-00000002,52.039,4.0,9,0.0,0.0
fixed-00000002,52.039,4.0,10,0.0,0.0
fixed-00000002,52.039,4.0,11,0.0,0.0
fixed-00000002,52.039,4.0,12,0.0,0.0
